s,left_x,left_y,right_x,right_y
3.59552455,0.85911195,1.27391917,0.71651286,-0.72607930
3.61101031,0.86720787,1.24892001,0.72670166,-0.72607860
3.62104368,0.87708846,1.24892003,0.73688774,-0.72607825
3.63107657,0.88697101,1.24891932,0.74707086,-0.72607817
3.64110923,0.89685582,1.24892026,0.75725113,-0.72607863
3.65114164,0.90674314,1.24892029,0.76742874,-0.72607953
3.66161633,0.91609902,1.24134048,0.77760346,-0.72607848
3.67444682,0.92476776,1.22391818,0.78777509,-0.72607793
3.68447995,0.93466535,1.22392004,0.79794371,-0.72607801
3.69451237,0.94456488,1.22391844,0.80810921,-0.72607865
3.70454454,0.95446686,1.22391821,0.81827182,-0.72607758
3.71457672,0.96437142,1.22391932,0.82843131,-0.72607957
3.72460842,0.97427823,1.22391924,0.83858789,-0.72607740
3.73463964,0.98418741,1.22391804,0.84874118,-0.72607845
3.74467063,0.99409908,1.22391800,0.85889133,-0.72607787
3.75470114,1.00401336,1.22391917,0.86903832,-0.72607816
3.76473165,1.01393024,1.22391905,0.87918221,-0.72607928
3.77476144,1.02384965,1.22391996,0.88932283,-0.72607890
3.78479123,1.03377167,1.22391954,0.89946024,-0.72607951
3.80029416,1.04197689,1.19891817,0.90959435,-0.72607873
3.81032467,1.05190696,1.19891958,0.91972519,-0.72607893
3.82035470,1.06183949,1.19891940,0.92985272,-0.72607772
3.83038449,1.07177488,1.19892014,0.93997693,-0.72607768
3.84041357,1.08171268,1.19891932,0.95009752,-0.72607875
3.85044265,1.09165337,1.19891932,0.96021481,-0.72607865
3.86047125,1.10159683,1.19892010,0.97032853,-0.72607974
3.87049961,1.11154316,1.19891911,0.98043906,-0.72607959
3.88052773,1.12149223,1.19891885,0.99054600,-0.72607836
3.89603591,1.13144443,1.19891923,0.99895081,-0.75107943
3.90606403,1.14139925,1.19891779,1.00905257,-0.75107860
3.91609240,1.15135743,1.19891932,1.01915078,-0.75107919
3.92612004,1.16131831,1.19891896,1.02924520,-0.75107878
3.93614721,1.17128224,1.19891915,1.03933592,-0.75107747
3.94617438,1.18124933,1.19891970,1.04942290,-0.75107765
3.95620108,1.19121947,1.19891826,1.05950609,-0.75107947
3.96622753,1.20119293,1.19891961,1.06958566,-0.75107792
3.97625351,1.21116936,1.19891882,1.07966131,-0.75107804
3.98627925,1.22114903,1.19891833,1.08973310,-0.75107740
3.99630475,1.23113190,1.19891807,1.09980091,-0.75107850
4.00632954,1.24111807,1.19891804,1.10986482,-0.75107889
4.01635456,1.25110765,1.19891810,1.11992497,-0.75107862
4.02637911,1.26110045,1.19891828,1.12998108,-0.75107776
4.04189062,1.26941660,1.17391887,1.14003330,-0.75107883
4.05191469,1.27941709,1.17391909,1.15008151,-0.75107928
4.06193876,1.28942094,1.17391936,1.16012573,-0.75107933
4.07196236,1.29942814,1.17391958,1.17016595,-0.75107887
4.08198595,1.30943881,1.17391973,1.18020207,-0.75107800
4.09200859,1.31945280,1.17391977,1.19023384,-0.75107911
4.10203171,1.32947036,1.17391960,1.20026185,-0.75107754
4.11205387,1.33949139,1.17391927,1.21028563,-0.75107809
4.12756491,1.34783772,1.14891876,1.22030524,-0.75107837
4.13758659,1.35786556,1.14891791,1.23032091,-0.75107843
4.14760828,1.36789693,1.14891911,1.24033257,-0.75107829
4.15762901,1.37793159,1.14891999,1.25034008,-0.75107803
4.16765022,1.38796959,1.14891808,1.26034370,-0.75107768
4.17767048,1.39801118,1.14891810,1.27034312,-0.75107969
4.18769073,1.40805622,1.14892011,1.28033860,-0.75107926
4.19771051,1.41810452,1.14891915,1.29033008,-0.75107879
4.20773029,1.42815634,1.14892010,1.30031765,-0.75107841
4.21774960,1.43821139,1.14891804,1.31030130,-0.75107814
4.23325682,1.44826982,1.14891775,1.31859694,-0.77607757
4.24327517,1.45833172,1.14891926,1.32857169,-0.77607751
4.25329304,1.46839694,1.14892007,1.33854255,-0.77607768
4.26331091,1.47846544,1.14892010,1.34850959,-0.77607816
4.27332830,1.48853706,1.14891934,1.35847274,-0.77607888
4.28334570,1.49861210,1.14892025,1.36843228,-0.77607757
4.29336214,1.50869005,1.14891783,1.37838786,-0.77607901
4.30992365,1.52046547,1.17391822,1.38834006,-0.77607846
4.31994104,1.53055188,1.17391875,1.39828851,-0.77607847
4.32995844,1.54064140,1.17391829,1.40823326,-0.77607889
4.33997536,1.55073428,1.17391924,1.41817466,-0.77607743
4.34999228,1.56083026,1.17391914,1.42811224,-0.77607900
4.36655664,1.57263316,1.19891856,1.43804668,-0.77607875
4.37657404,1.58273765,1.19891853,1.44797746,-0.77607915
4.38659191,1.59284552,1.19891973,1.45790502,-0.77607786
4.39660931,1.60295654,1.19891972,1.46782928,-0.77607731
4.40662670,1.61307062,1.19891851,1.47775008,-0.77607759
4.43424225,1.62661874,1.24891806,1.48766753,-0.77607871
4.44426250,1.63674457,1.24891865,1.49758205,-0.77607822
4.47188234,1.65031497,1.29891922,1.50749317,-0.77607859
4.48190546,1.66045290,1.29891911,1.51740157,-0.77607757
4.50824594,1.66714138,1.24891943,1.52730661,-0.77607750
4.51826620,1.67727995,1.24891926,1.53720852,-0.77607850
4.52828693,1.68742170,1.24891988,1.54710747,-0.77607812
4.55462408,1.69409595,1.19891974,1.55700340,-0.77607892
4.56464148,1.70423755,1.19892012,1.56689638,-0.77607837
4.57465887,1.71438208,1.19891889,1.57678644,-0.77607907
4.59014702,1.72278463,1.17391816,1.58667383,-0.77607858
4.60016251,1.73293165,1.17391864,1.59655816,-0.77607929
4.61564684,1.74132967,1.14892010,1.60643979,-0.77607894
4.62566090,1.75147861,1.14891969,1.61631874,-0.77607753
4.63567495,1.76163025,1.14891992,1.62619487,-0.77607746
4.65115643,1.77002192,1.12391935,1.63606823,-0.77607886
4.66116810,1.78017502,1.12391851,1.64593903,-0.77607932
4.67118025,1.79033077,1.12391826,1.65580745,-0.77607884
4.68665552,1.79871543,1.09892023,1.66567349,-0.77607751
4.69666576,1.80887219,1.09891867,1.67553680,-0.77607782
4.70667601,1.81903166,1.09892002,1.68539783,-0.77607732
4.72214842,1.82919323,1.09891923,1.69347041,-0.80107830
4.73215580,1.83935708,1.09891879,1.70332227,-0.80107851
4.74216413,1.84952342,1.09891858,1.71317188,-0.80107793
4.75217199,1.85969210,1.09891867,1.72301903,-0.80107926
4.76763725,1.86806037,1.07391795,1.73286412,-0.80107760
4.77764273,1.87822923,1.07391872,1.74270665,-0.80107777
4.78764868,1.88840039,1.07391962,1.75254698,-0.80107978
4.79765463,1.89857381,1.07391816,1.76238557,-0.80107896
4.80766010,1.90874911,1.07391922,1.77222159,-0.80107771
4.81766558,1.91892641,1.07391785,1.78205534,-0.80107844
4.82767153,1.92910611,1.07391893,1.79188721,-0.80107893
4.83767700,1.93928781,1.07391994,1.80171698,-0.80107904
4.84768295,1.94947153,1.07391843,1.81154494,-0.80107890
4.85768890,1.95965739,1.07391923,1.82137086,-0.80107855
4.86769485,1.96984504,1.07391984,1.83119471,-0.80107794
4.87770033,1.98003468,1.07391786,1.84101664,-0.80107970
4.88770628,1.99022635,1.07391802,1.85083689,-0.80107886
4.89771223,2.00041989,1.07391786,1.86065527,-0.80107790
4.90771866,2.01061572,1.07391991,1.87047185,-0.80107948
4.91772461,2.02081306,1.07391912,1.88028673,-0.80107859
4.92773104,2.03101231,1.07391794,1.89009999,-0.80107774
4.93773746,2.04121352,1.07391876,1.89991137,-0.80107943
4.94774389,2.05141649,1.07391907,1.90972125,-0.80107875
4.95775032,2.06162141,1.07391889,1.91952978,-0.80107833
4.96775723,2.07182817,1.07391817,1.92933683,-0.80107811
4.97776413,2.08203669,1.07391930,1.93914222,-0.80107814
4.98777151,2.09224688,1.07391981,1.94894609,-0.80107845
4.99777842,2.10245871,1.07391963,1.95874851,-0.80107912
5.00778580,2.11267217,1.07391875,1.96854967,-0.80107771
5.01779318,2.12288741,1.07391958,1.97834927,-0.80107913
5.02780056,2.13310424,1.07391965,1.98814770,-0.80107865
5.04322672,2.14138420,1.04891828,1.99794481,-0.80107862
5.05323267,2.15159915,1.04891952,2.00774116,-0.80107916
