x_m,y_m,left_x_m,left_y_m,right_x_m,right_y_m,w_tr_left_m,w_tr_right_m,w_total_m
-14.676425070020635,3.6317274276482965,-15.57015090955254,3.693908799536549,-12.92660120945171,3.5100473722003382,0.8958419198906872,1.754017043410082,2.649858963300769
-14.67265849465124,3.750965710102753,-15.567322219433796,3.813312207241437,-12.91222008688056,3.628348201938673,0.8967852748199401,1.764666852439686,2.661452127259626
-14.668932316147204,3.8701933640288435,-15.564513015410135,3.932666491759644,-12.897777185097183,3.74670150975723,0.8977064713202967,1.7754154141502918,2.6731218854705885
-14.665235935254755,3.9894083172308785,-15.561723799980692,4.051967775529005,-12.88327078360764,3.865112038144879,0.8986167078580198,1.7862536370040023,2.684870344862022
-14.66155480532743,4.108608173877007,-15.558955075644604,4.171212180987359,-12.86869916191798,3.983584529590495,0.8995311414906666,1.7971684708716245,2.6966996123622913
-14.657878400259298,4.2277907754876605,-15.556207344900994,4.290395830572537,-12.854060599534256,4.102123726582943,0.9004608996586143,1.8081508952411474,2.7086117948997614
-14.65420047763157,4.346954223745589,-15.553481110249004,4.409514846722376,-12.83935337596253,4.220734371611095,0.9014128154876634,1.819196183915135,2.720608999402798
-14.650512987246733,4.4660964595767085,-15.55077687418776,4.528565351874715,-12.824575770708844,4.3394212071638245,0.9023955331310767,1.8302977996686909,2.7326933327997676
-14.646802828879238,4.585215044751276,-15.5480951392164,4.647543468467388,-12.80972606327926,4.4581889757300015,0.903422756665998,1.8414441453530355,2.7448669020190337
-14.643063027395923,4.704307943948295,-15.54543640783405,4.76644531893823,-12.794802533179832,4.577042419798493,0.9045020469093819,1.852629767079579,2.757131813988961
-14.639293838829238,4.823373660617309,-15.54280121554844,4.885267251106509,-12.779804021667836,4.695986049094133,0.9056337409680826,1.8638559091209972,2.7694896500890795
-14.635498379026055,4.942412337971976,-15.540190868315404,5.004010873382225,-12.764742481743172,4.815018940434703,0.9068159774210214,1.8751137475292818,2.781929724950303
-14.63167354400003,5.061425216073426,-15.537607448841475,5.122683097799964,-12.749643085407923,4.934134693287482,0.9080538012220892,1.8863751848856842,2.7944289861077736
-14.627811702116762,5.180413386020999,-15.535053074102324,5.241291070382681,-12.734531587867751,5.053326665466825,0.909356818630148,1.8976070168478023,2.8069638354779505
-14.623908710358151,5.299378273806367,-15.532529861073623,5.359841937153337,-12.719433744328322,5.172588214787092,0.9107311335305266,1.908779541446766,2.819510674977293
-14.61996219319889,5.418321518925376,-15.530039926731042,5.478342844134885,-12.704375309995292,5.291912699062643,0.9121810739723089,1.9198648325499508,2.83204590652226
-14.615965747809053,5.5372445901680925,-15.527585388050255,5.596800937350292,-12.689382040074332,5.41129347610784,0.9137150007328603,1.9308309312964507,2.8445459320293107
-14.611907061255353,5.656148675145554,-15.525168362006928,5.715223362822509,-12.674479689771102,5.530723903737036,0.9153471942476759,1.941639959167229,2.856987153414905
-14.607772124760812,5.7750349678437605,-15.522790965576734,5.833617266574498,-12.659694014291269,5.650197339764591,0.9170936314141425,1.9522523411813588,2.869345972595501
-14.603548348106255,5.893904869233528,-15.520455315735346,5.951989794629215,-12.64505076884049,5.769707142004867,0.918968865473581,1.9626299260139783,2.8815987914875594
-14.599219184450344,6.012759641427516,-15.518163529458432,6.070348093009622,-12.630575708624436,5.889246668272222,0.9209914129214462,1.9727305990860913,2.8937220120075375
-14.594763012728928,6.131600345736526,-15.515917723721666,6.188699307738673,-12.616294588848763,6.008809276381013,0.9231848732778376,1.982507162794058,2.905692036071896
