s,left_x,left_y,right_x,right_y
0.49000001,-15.73999894,-3.80014199,-13.15000011,-3.91782502
0.50000000,-15.73999789,-3.79034377,-13.14999972,-3.90760689
0.50999999,-15.73999837,-3.78054721,-13.15000055,-3.89738673
0.51999998,-15.73999788,-3.77075352,-13.15000026,-3.88716452
0.52999997,-15.73999767,-3.76096048,-13.15000054,-3.87694175
0.54000002,-15.73999758,-3.75116985,-13.15000050,-3.86671644
0.55000001,-15.73999888,-3.74138159,-13.14999940,-3.85648994
0.56000000,-15.73999763,-3.73159397,-13.15000063,-3.84626262
0.56999999,-15.73999682,-3.72180762,-13.14999986,-3.83603424
0.57999998,-15.73999895,-3.71202330,-13.14999944,-3.82580432
0.58999997,-15.73999846,-3.70223985,-13.15000144,-3.81557382
0.60000002,-15.73999795,-3.69245842,-13.15000081,-3.80534174
0.61000001,-15.73999699,-3.68267781,-13.14999959,-3.79510939
0.62000000,-15.73999829,-3.67289914,-13.15000078,-3.78487522
0.63000000,-15.73999861,-3.66312185,-13.15000083,-3.77463997
0.63999999,-15.73999780,-3.65334532,-13.14999991,-3.76440426
0.64999998,-15.73999845,-3.64357067,-13.15000029,-3.75416678
0.66000003,-15.73999804,-3.63379700,-13.14999961,-3.74392907
0.67000002,-15.73999901,-3.62402461,-13.15000032,-3.73369017
0.68000001,-15.73999797,-3.61425296,-13.15000146,-3.72345072
0.69000000,-15.73999824,-3.60448281,-13.14999918,-3.71321054
0.69999999,-15.73999752,-3.59471342,-13.15000064,-3.70296966
0.70999998,-15.73999811,-3.58494488,-13.15000112,-3.69272858
0.72000003,-15.73999772,-3.57517748,-13.15000047,-3.68248617
0.73000002,-15.73999864,-3.56541157,-13.15000128,-3.67224283
0.74000001,-15.73999754,-3.55564579,-13.15000007,-3.66200007
0.75000000,-15.73999878,-3.54588103,-13.15000120,-3.65175589
0.75999999,-15.73999705,-3.53611723,-13.14999937,-3.64151148
0.76999998,-15.73999750,-3.52635367,-13.15000002,-3.63126735
0.77999997,-15.73999854,-3.51659134,-13.15000095,-3.62102205
0.79000002,-15.73999836,-3.50682912,-13.15000098,-3.61077687
0.80000001,-15.73999712,-3.49706763,-13.14999994,-3.60053120
0.81000000,-15.73999727,-3.48730721,-13.15000029,-3.59028545
0.81999999,-15.73999784,-3.47754717,-13.15000106,-3.58003889
0.82999998,-15.73999727,-3.46778746,-13.15000086,-3.56979269
0.83999997,-15.73999713,-3.45802772,-13.15000108,-3.55954652
0.85000002,-15.73999830,-3.44826946,-13.15000031,-3.54929950
0.86000001,-15.73999745,-3.43851129,-13.14999998,-3.53905250
0.87000000,-15.73999798,-3.42875270,-13.15000102,-3.52880636
0.88000000,-15.73999737,-3.41899543,-13.15000109,-3.51855914
0.88999999,-15.73999807,-3.40923776,-13.15000016,-3.50831287
0.89999998,-15.73999911,-3.39948069,-13.14999975,-3.49806600
0.91000003,-15.73999814,-3.38972303,-13.14999975,-3.48781979
0.92000002,-15.73999855,-3.37996622,-13.15000114,-3.47757320
0.93000001,-15.73999687,-3.37020910,-13.15000059,-3.46732755
0.94000000,-15.73999892,-3.36045197,-13.15000150,-3.45708133
0.94999999,-15.73999897,-3.35069536,-13.15000039,-3.44683569
0.95999998,-15.73999787,-3.34093880,-13.15000074,-3.43659007
0.97000003,-15.73999800,-3.33118094,-13.15000018,-3.42634575
0.98000002,-15.73999768,-3.32142390,-13.15000146,-3.41610098
0.99000001,-15.73999858,-3.31166617,-13.14999939,-3.40585702
1.00000000,-15.73999850,-3.30190885,-13.15000106,-3.39561353
1.00999999,-15.73999770,-3.29232721,-13.14999972,-3.38520254
1.01999998,-15.73999849,-3.28274284,-13.15000060,-3.37479504
1.02999997,-15.73999918,-3.27315796,-13.15000138,-3.36438830
1.03999996,-15.73999747,-3.26357005,-13.15000052,-3.35398470
1.04999995,-15.73999854,-3.25398106,-13.15000016,-3.34358262
1.05999994,-15.73999840,-3.24439117,-13.15000134,-3.33318204
1.07000005,-15.73999837,-3.23479853,-13.15000081,-3.32278377
1.08000004,-15.73999860,-3.22520386,-13.15000085,-3.31238843
1.09000003,-15.73999919,-3.21560796,-13.15000140,-3.30199433
1.10000002,-15.73999847,-3.20601048,-13.15000111,-3.29160240
1.11000001,-15.73999699,-3.19641113,-13.15000053,-3.28121231
1.12000000,-15.73999918,-3.18681005,-13.15000147,-3.27082430
1.13000000,-15.73999911,-3.17720739,-13.15000063,-3.26043844
1.13999999,-15.73999790,-3.16760291,-13.15000124,-3.25005442
1.14999998,-15.73999829,-3.15799670,-13.14999919,-3.23967253
1.15999997,-15.73999746,-3.14838762,-13.15000110,-3.22929383
1.16999996,-15.73999697,-3.13877791,-13.15000108,-3.21891582
1.17999995,-15.73999912,-3.12916646,-13.14999927,-3.20853994
1.19000006,-15.73999908,-3.11955292,-13.15000047,-3.19816556
1.20000005,-15.73999837,-3.10993755,-13.15000130,-3.18779429
1.21000004,-15.73999730,-3.10032010,-13.14999980,-3.17742475
1.22000003,-15.73999807,-3.09070112,-13.15000029,-3.16705740
1.23000002,-15.73999910,-3.08108085,-13.15000136,-3.15669125
1.24000001,-15.73999884,-3.07145896,-13.14999915,-3.14632727
1.25000000,-15.73999788,-3.06183386,-13.15000144,-3.13596614
1.25999999,-15.73999719,-3.05220771,-13.14999943,-3.12560656
1.26999998,-15.73999773,-3.04258048,-13.15000138,-3.11524835
1.27999997,-15.73999757,-3.03295068,-13.15000052,-3.10489256
1.28999996,-15.73999775,-3.02331853,-13.15000015,-3.09453940
1.29999995,-15.73999805,-3.01368468,-13.15000051,-3.08418823
1.30999994,-15.73999868,-3.00404909,-13.15000136,-3.07383908
1.32000005,-15.73999722,-2.99441290,-13.15000028,-3.06349056
1.33000004,-15.73999839,-2.98477365,-13.14999984,-3.05314523
1.34000003,-15.73999738,-2.97513274,-13.14999998,-3.04280190
1.35000002,-15.73999820,-2.96549067,-13.14999966,-3.03245996
1.36000001,-15.73999780,-2.95584606,-13.15000087,-3.02212037
1.37000000,-15.73999915,-2.94619965,-13.14999926,-3.01178283
1.38000000,-15.73999832,-2.93655158,-13.15000066,-3.00144720
1.38999999,-15.73999680,-2.92690151,-13.14999924,-2.99111338
1.39999998,-15.73999894,-2.91724989,-13.14999935,-2.98078177
