s,left_width,right_width
1.64999998,1.34285645,1.24758301
1.65999997,1.34300781,1.24741943
1.66999996,1.34315918,1.24726074
1.67999995,1.34330566,1.24710205
1.69000006,1.34345215,1.24694336
1.70000005,1.34359863,1.24678955
1.71000004,1.34374023,1.24663818
1.72000003,1.34387939,1.24648926
1.73000002,1.34401611,1.24634277
1.74000001,1.34415283,1.24619873
1.75000000,1.34428711,1.24605469
1.75999999,1.34441895,1.24591553
1.76999998,1.34454834,1.24577637
1.77999997,1.34467529,1.24563965
1.78999996,1.34480225,1.24550537
1.79999995,1.34492676,1.24537354
1.80999994,1.34504883,1.24524414
1.82000005,1.34516846,1.24511475
1.83000004,1.34528564,1.24499023
1.84000003,1.34540283,1.24486572
1.85000002,1.34551758,1.24474365
1.86000001,1.34562988,1.24462646
1.87000000,1.34573975,1.24450684
1.88000000,1.34584961,1.24439209
1.88999999,1.34595703,1.24427734
1.89999998,1.34606201,1.24416748
1.90999997,1.34616455,1.24405762
1.91999996,1.34626709,1.24394775
1.92999995,1.34636719,1.24384277
1.94000006,1.34646484,1.24373779
1.95000005,1.34656006,1.24363770
1.96000004,1.34665527,1.24353760
1.97000003,1.34674805,1.24343750
1.98000002,1.34683838,1.24334229
1.99000001,1.34692871,1.24324707
2.00000000,1.34701660,1.24315430
2.00999999,1.34710205,1.24306152
2.01999998,1.34718750,1.24297363
2.02999997,1.34727051,1.24288574
2.03999996,1.34735107,1.24280029
2.04999995,1.34743164,1.24271484
2.05999994,1.34750977,1.24263184
2.06999993,1.34758545,1.24255127
2.07999992,1.34766113,1.24247314
2.08999991,1.34773438,1.24239502
2.09999990,1.34780762,1.24231934
2.10999990,1.34787598,1.24224365
2.11999989,1.34794678,1.24217285
2.13000011,1.34801270,1.24209961
2.14000010,1.34807861,1.24203125
2.15000010,1.34814209,1.24196289
2.16000009,1.34820801,1.24189697
2.17000008,1.34826904,1.24183105
2.18000007,1.34833008,1.24176758
2.19000006,1.34838867,1.24170410
2.20000005,1.34844482,1.24164551
2.21000004,1.34850098,1.24158447
2.22000003,1.34855713,1.24152832
2.23000002,1.34861084,1.24147217
2.24000001,1.34866211,1.24141602
2.25000000,1.34871338,1.24136230
2.25999999,1.34876221,1.24131104
2.26999998,1.34881104,1.24125977
2.27999997,1.34885742,1.24121094
2.28999996,1.34890381,1.24116211
2.29999995,1.34894775,1.24111572
2.30999994,1.34899170,1.24106934
2.31999993,1.34903320,1.24102539
2.32999992,1.34907471,1.24098145
2.33999991,1.34911377,1.24093994
2.34999990,1.34915283,1.24089844
2.35999990,1.34919189,1.24085938
2.36999989,1.34922607,1.24082275
2.38000011,1.34926270,1.24078613
2.39000010,1.34929688,1.24074951
2.40000010,1.34933105,1.24071289
2.41000009,1.34936279,1.24068115
2.42000008,1.34939209,1.24064697
2.43000007,1.34942383,1.24061523
2.44000006,1.34945313,1.24058594
2.45000005,1.34947998,1.24055664
2.46000004,1.34950684,1.24052734
2.47000003,1.34953369,1.24050049
2.48000002,1.34955811,1.24047363
2.49000001,1.34958252,1.24044922
2.50000000,1.34960693,1.24042480
2.50999999,1.34962891,1.24040039
2.51999998,1.34964844,1.24037842
2.52999997,1.34967041,1.24035645
2.53999996,1.34968994,1.24033447
2.54999995,1.34970947,1.24031494
2.55999994,1.34972656,1.24029541
2.56999993,1.34974365,1.24027832
2.57999992,1.34975830,1.24026123
2.58999991,1.34977539,1.24024658
2.59999990,1.34979004,1.24022949
2.60999990,1.34980469,1.24021484
2.61999989,1.34981689,1.24020020
2.63000011,1.34983154,1.24018799
2.64000010,1.34984131,1.24017578
2.65000010,1.34985352,1.24016357
2.66000009,1.34986328,1.24015137
2.67000008,1.34987305,1.24014160
2.68000007,1.34988281,1.24013184
2.69000006,1.34989258,1.24012207
2.70000005,1.34989990,1.24011475
2.71000004,1.34990723,1.24010742
2.72000003,1.34991455,1.24009766
2.73000002,1.34991943,1.24009277
2.74000001,1.34992676,1.24008545
2.75000000,1.34993164,1.24008057
2.75999999,1.34993652,1.24007568
2.76999998,1.34993896,1.24007080
2.77999997,1.34994385,1.24006592
2.78999996,1.34994629,1.24006348
2.79999995,1.34994873,1.24005859
2.80999994,1.34995117,1.24005859
2.81999993,1.34995361,1.24005615
2.82999992,1.34995361,1.24005371
2.83999991,1.34995361,1.24005371
2.84999990,1.34995605,1.24005127
2.85999990,1.34995605,1.24005127
2.86999989,1.34995605,1.24005127
2.88000011,1.34995605,1.24005127
