x_m,y_m,w_tr_left_m,w_tr_right_m,w_total_m,left_x_m,left_y_m,right_x_m,right_y_m
2.76000011,-2.33375537,1.00951660,1.00951660,2.01903319,3.70999956,-2.67525911,1.81000066,-1.99225163
2.75999958,-2.34445685,1.01096802,1.01096802,2.02193604,3.70999861,-2.69022870,1.81000054,-1.99868500
2.75301397,-2.35261083,1.01988035,1.01988035,2.03976071,3.70999980,-2.70522118,1.79602814,-2.00000048
2.74425369,-2.36006332,1.03068484,1.03068484,2.06136969,3.71000004,-2.72012615,1.77850735,-2.00000048
2.73566431,-2.36753023,1.04134884,1.04134884,2.08269769,3.70999980,-2.73505950,1.76132882,-2.00000095
2.73500020,-2.37797224,1.04357172,1.04357172,2.08714344,3.70999885,-2.75002003,1.76000154,-2.00592446
2.73499960,-2.38869179,1.04510130,1.04510130,2.09020261,3.70999813,-2.76500893,1.76000106,-2.01237464
2.73500037,-2.39943957,1.04664665,1.04664665,2.09329330,3.70999908,-2.78002691,1.76000166,-2.01885223
2.73499983,-2.41021442,1.04820674,1.04820674,2.09641348,3.70999837,-2.79507184,1.76000130,-2.02535701
2.73500020,-2.42101836,1.04978154,1.04978154,2.09956307,3.70999837,-2.81014538,1.76000202,-2.03189135
2.73499983,-2.43185163,1.05137211,1.05137211,2.10274423,3.70999861,-2.82524800,1.76000106,-2.03845525
2.73500043,-2.44271504,1.05297728,1.05297728,2.10595456,3.70999980,-2.84037995,1.76000106,-2.04505014
2.72827930,-2.45083833,1.04732671,1.04732671,2.09465342,3.69655800,-2.84999943,1.76000059,-2.05167723
2.71012050,-2.45416904,1.02927500,1.02927500,2.05854999,3.66023898,-2.84999967,1.76000202,-2.05833840
2.69230163,-2.45751631,1.01154783,1.01154783,2.02309566,3.62460279,-2.85000014,1.76000047,-2.06503248
2.67481476,-2.46088147,0.99413084,0.99413084,1.98826168,3.58962774,-2.85000014,1.76000178,-2.07176280
2.65764647,-2.46426439,0.97701532,0.97701532,1.95403063,3.55529165,-2.85000014,1.76000130,-2.07852864
2.64078713,-2.46766603,0.96018801,0.96018801,1.92037602,3.52157211,-2.84999943,1.76000214,-2.08533263
2.63500088,-2.47581029,0.95540524,0.95540524,1.91081048,3.50999951,-2.85944629,1.76000226,-2.09217429
2.63499945,-2.48650169,0.95694215,0.95694215,1.91388431,3.50999832,-2.87394881,1.76000059,-2.09905457
2.62831813,-2.49424231,0.96580925,0.96580925,1.93161850,3.50999880,-2.88848424,1.74663746,-2.10000038
2.61729044,-2.50000012,0.97205928,0.97205928,1.94411856,3.50323606,-2.89999962,1.73134482,-2.10000062
2.59375929,-2.50000024,0.96437505,0.96437505,1.92875010,3.47126698,-2.89999962,1.71625161,-2.10000086
2.58500010,-2.50663269,0.96319698,0.96319698,1.92639396,3.45999837,-2.90928197,1.71000183,-2.10398340
2.58500105,-2.51729763,0.96478756,0.96478756,1.92957513,3.45999980,-2.92373610,1.71000230,-2.11085916
2.58499992,-2.52800203,0.96638795,0.96638795,1.93277590,3.45999908,-2.93822408,1.71000075,-2.11777997
2.58209658,-2.53737402,0.96478512,0.96478512,1.92957025,3.45419192,-2.94999981,1.71000123,-2.12474823
2.56687694,-2.54088199,0.94953250,0.94953250,1.89906499,3.42375183,-2.94999981,1.71000206,-2.13176417
2.55999959,-2.54832006,0.94349484,0.94349484,1.88698967,3.40999842,-2.95781302,1.71000075,-2.13882709
2.56000102,-2.55908525,0.94508548,0.94508548,1.89017097,3.40999985,-2.97222996,1.71000218,-2.14594054
2.55683678,-2.56834185,0.95020746,0.95020746,1.90041491,3.40999866,-2.98668265,1.70367491,-2.15000105
2.54838550,-2.57500028,0.95860362,0.95860362,1.91720723,3.40762711,-3.00000000,1.68914390,-2.15000057
2.52664226,-2.57500005,0.95201408,0.95201408,1.90402816,3.37852621,-2.99999952,1.67475832,-2.15000057
2.51025516,-2.57755458,0.95124398,0.95124398,1.90248796,3.35999799,-3.00510836,1.66051233,-2.15000081
2.50999957,-2.58820129,0.95316154,0.95316154,1.90632307,3.35999870,-3.01949978,1.66000044,-2.15690279
2.51000047,-2.59902358,0.95479864,0.95479864,1.90959727,3.35999894,-3.03392935,1.66000199,-2.16411781
2.51000035,-2.60989273,0.95644410,0.95644410,1.91288820,3.35999942,-3.04839802,1.66000128,-2.17138743
2.49759388,-2.61435664,0.94411136,0.94411136,1.88822271,3.33518648,-3.04999971,1.66000128,-2.17871356
2.48499995,-2.61866581,0.93152577,0.93152577,1.86305155,3.30999947,-3.05123496,1.66000044,-2.18609667
2.48500043,-2.62957454,0.93313959,0.93313959,1.86627917,3.30999899,-3.06560993,1.66000187,-2.19353914
2.48499953,-2.64053154,0.93476080,0.93476080,1.86952160,3.30999875,-3.08002448,1.66000032,-2.20103860
2.48500049,-2.65153932,0.93638665,0.93638665,1.87277330,3.30999970,-3.09447980,1.66000128,-2.20859885
2.47670657,-2.65810907,0.92858763,0.92858763,1.85717526,3.29341221,-3.09999919,1.66000092,-2.21621895
2.46344150,-2.66194999,0.91509892,0.91509892,1.83019783,3.26688290,-3.10000014,1.66000009,-2.22389984
