s,left_x,left_y,right_x,right_y
3.81064725,2.60999966,-4.63332605,0.41000208,-3.75643301
3.82074070,2.60999942,-4.63708210,0.41000131,-3.77286410
3.83077550,2.60999894,-4.64069176,0.41000071,-3.78932405
3.84117723,2.60999846,-4.64415026,0.39473811,-3.80000091
3.85888457,2.60999870,-4.64746666,0.36000097,-3.80358028
3.86889386,2.60999870,-4.65064287,0.36000130,-3.82042265
3.87884450,2.60999775,-4.65367937,0.36000231,-3.83728766
3.88860011,2.60999799,-4.65657997,0.34830230,-3.85000086
3.90800881,2.60999942,-4.65934467,0.31000194,-3.85356116
3.91794395,2.60999799,-4.66197538,0.31000170,-3.87080073
3.92782283,2.60999918,-4.66447449,0.31000036,-3.88805914
3.93859720,2.60999990,-4.66684246,0.29388791,-3.90000105
3.95608354,2.60999823,-4.66908073,0.26000077,-3.90640116
3.96595740,2.60999918,-4.67119122,0.26000112,-3.92403841
3.97577620,2.60999846,-4.67317438,0.26000229,-3.94169307
3.99197102,2.60999799,-4.67502928,0.22924894,-3.95000029
4.00383949,2.60999990,-4.67676020,0.21000218,-3.96216464
4.01366377,2.60999966,-4.67836666,0.21000034,-3.98020673
4.02343512,2.60999846,-4.67985106,0.21000032,-3.99826550
4.05296469,2.60999894,-4.68121433,0.15102205,-4.00000048
4.07392836,2.60999966,-4.68245697,0.11000076,-4.00742722
4.08389425,2.60999870,-4.68357801,0.11000062,-4.02623844
4.09381151,2.60999942,-4.68457985,0.11000243,-4.04507065
4.11907673,2.60999990,-4.68546247,0.06000152,-4.05149174
4.12907553,2.60999823,-4.68622494,0.06000120,-4.07072639
4.13902712,2.60999942,-4.68686962,0.06000170,-4.08998489
4.16013432,2.60999751,-4.68739462,0.01912581,-4.10000038
4.20484257,2.60999990,-4.68780279,-0.07029228,-4.10000038
4.21766806,2.60999966,-4.68809128,-0.08999848,-4.11613131
4.22799587,2.60999966,-4.68826103,-0.08999914,-4.13661766
4.24734402,2.60999751,-4.68831205,-0.12628675,-4.15000057
4.30243731,2.60999846,-4.68824482,-0.23647386,-4.15000057
4.31303263,2.60999775,-4.68805790,-0.23999989,-4.17108297
4.32377815,2.60999966,-4.68775177,-0.23999864,-4.19287968
4.33448887,2.60999918,-4.68732691,-0.23999789,-4.21472597
4.34516335,2.60999823,-4.68678188,-0.23999849,-4.23662043
4.37401009,2.60999918,-4.68611717,-0.18999930,-4.26606798
4.38441706,2.60999799,-4.68533134,-0.18999793,-4.28766823
4.39478922,2.60999918,-4.68442440,-0.18999915,-4.30931902
4.40512705,2.60999846,-4.68339586,-0.18999854,-4.33102369
4.41543150,2.60999870,-4.68224573,-0.18999866,-4.35278273
4.42570305,2.60999799,-4.68097305,-0.18999933,-4.37459850
4.43594265,2.60999846,-4.67957783,-0.18999827,-4.39647293
4.44615126,2.60999823,-4.67805958,-0.18999760,-4.41840839
4.45632935,2.60999775,-4.67641830,-0.18999985,-4.44040537
4.48408031,2.60999966,-4.67465496,-0.13999848,-4.46625519
4.49398565,2.60999942,-4.67276955,-0.13999832,-4.48795176
4.50386333,2.60999918,-4.67076540,-0.13999838,-4.50971079
4.51371241,2.60999894,-4.66864204,-0.13999817,-4.53153276
4.52353477,2.60999823,-4.66640091,-0.13999879,-4.55341816
4.53333044,2.60999918,-4.66404200,-0.13999984,-4.57536840
4.54310131,2.60999799,-4.66156721,-0.13999772,-4.59738541
4.55284882,2.60999775,-4.65897703,-0.13999934,-4.61947012
4.56257391,2.60999870,-4.65627337,-0.13999867,-4.64162445
4.57227802,2.60999751,-4.65345573,-0.13999978,-4.66384983
4.58196211,2.60999966,-4.65052652,-0.13999894,-4.68614769
4.59162807,2.60999894,-4.64748573,-0.13999753,-4.70852041
4.60127831,2.60999870,-4.64433575,-0.13999934,-4.73097038
4.61091280,2.60999775,-4.64107561,-0.13999765,-4.75349951
4.62053394,2.60999966,-4.63770628,-0.13999858,-4.77611113
4.63014364,2.60999894,-4.63423157,-0.13999794,-4.79880571
4.63974333,2.60999894,-4.63065052,-0.13999915,-4.82158613
4.64933586,2.60999870,-4.62696648,-0.13999818,-4.84445524
4.65892315,2.60999942,-4.62318039,-0.13999894,-4.86741590
4.66850662,2.60999894,-4.61929226,-0.13999787,-4.89047050
4.67808819,2.60999942,-4.61530495,-0.13999768,-4.91362143
4.68767023,2.60999846,-4.61121845,-0.13999829,-4.93687201
4.71346951,2.60999823,-4.60703516,-0.08999995,-4.95380354
4.72280693,2.60999846,-4.60275459,-0.08999981,-4.97675896
4.73433161,2.59909177,-4.60000038,-0.08999761,-4.99982071
4.75227785,2.57168150,-4.60000038,-0.08999778,-5.02299213
4.76433563,2.55999947,-4.59781313,-0.08999956,-5.04627609
4.77397156,2.55999804,-4.59368467,-0.08999973,-5.06967592
4.78362513,2.55999899,-4.58947182,-0.08999965,-5.09319592
4.79329920,2.55999804,-4.58517647,-0.08999996,-5.11683989
4.80299807,2.55999947,-4.58080149,-0.08999969,-5.14061213
4.81272411,2.55999804,-4.57634878,-0.08999928,-5.16451693
4.82248020,2.55999970,-4.57181835,-0.08999903,-5.18856001
4.83226967,2.55999923,-4.56721258,-0.08999937,-5.21274424
4.84209633,2.55999923,-4.56253481,-0.08999973,-5.23707581
4.85196257,2.55999970,-4.55778599,-0.08999858,-5.26155663
4.86187363,2.55999899,-4.55296993,-0.08999943,-5.28619480
4.87183094,2.55999947,-4.54808712,-0.08999980,-5.31099224
4.88183928,2.55999970,-4.54314089,-0.08999830,-5.33595562
