time,x,y,yaw,vel,accel,steer,theta
111,1.2704,-4.0421,-2.30498,2.02302,0.535737,-0.0110871,5.95369
112,1.18838,-4.13126,-2.31158,2.01505,-0.464064,0.0111131,6.06369
113,1.10588,-4.22012,-2.31702,2.0273,0.497817,0.0182305,6.18369
114,1.0238,-4.30956,-2.31331,2.01848,0.0354023,0.0383802,6.30369
115,0.942203,-4.39996,-2.30625,2.04254,0.468364,0.0402435,6.42369
116,0.861877,-4.49233,-2.29032,2.03523,-0.631155,0.0621832,6.53369
117,0.783373,-4.58599,-2.27318,2.03804,0.664146,0.0736862,6.65369
118,0.706521,-4.68145,-2.25332,2.04384,-0.337888,0.0916436,6.78369
119,0.632245,-4.77975,-2.22536,2.06079,0.0219411,0.0966233,6.92369
120,0.561131,-4.88009,-2.1949,2.03444,-0.124107,0.112056,7.06369
121,0.494704,-4.98267,-2.15591,2.04182,0.346308,0.121669,7.18369
122,0.432676,-5.0877,-2.11587,2.02804,-0.372921,0.133644,7.31369
123,0.375089,-5.19547,-2.07322,2.04547,0.531024,0.144313,7.43369
124,0.323199,-5.3065,-2.0224,2.03902,-0.472874,0.154587,7.55369
125,0.277124,-5.4202,-1.97083,2.05071,0.516378,0.167049,7.67369
126,0.237452,-5.53636,-1.91461,2.0418,-0.480076,0.179221,7.79369
127,0.205476,-5.65489,-1.85184,2.04748,0.244906,0.192122,7.92369
128,0.181292,-5.77454,-1.78823,2.02217,0.281873,0.214853,8.04369
129,0.166193,-5.89517,-1.716,2.01832,0.912455,0.237673,8.16369
130,0.160767,-6.01691,-1.63789,2.04012,0.484299,0.241852,8.28369
131,0.170161,-6.17957,-1.52387,2.04148,0.42785,0.269803,8.43369
132,0.185871,-6.28033,-1.44931,2.0427,0.819624,0.305198,8.55369
133,0.227539,-6.43852,-1.32496,2.05209,0.732985,0.313165,8.71369
134,0.257094,-6.51491,-1.24992,2.05207,-0.347327,0.313091,8.82369
135,0.323791,-6.64236,-1.11294,2.06842,0.365037,0.279723,8.96369
136,0.393448,-6.74453,-1.00375,2.05369,-0.929802,0.246786,9.09369
137,0.471815,-6.83897,-0.906738,2.03796,0.943238,0.174554,9.21369
138,0.558245,-6.92772,-0.825182,2.08144,-0.0593791,0.153275,9.33369
139,0.699409,-7.05446,-0.736201,2.11833,-0.909405,0.0843824,9.49369
140,0.781991,-7.12088,-0.69442,2.11305,-0.183688,0.0209732,9.63369
141,0.9162,-7.22156,-0.649172,2.07844,0.204884,-0.0568398,9.78369
142,0.983002,-7.27108,-0.643959,2.0818,0.126534,-0.101343,9.89369
143,1.08173,-7.34762,-0.659377,2.08404,0.0476492,-0.158886,10.0137
144,1.17717,-7.42878,-0.698456,2.09272,0.214366,-0.214966,10.1437
