x_m,y_m,w_tr_left_m,w_tr_right_m,w_total_m,left_x_m,left_y_m,right_x_m,right_y_m
5.92787488,19.57500126,0.72307616,0.72307616,1.44615233,5.66861576,18.90000212,6.18713400,20.25000041
5.91886297,19.57941041,0.72786498,0.72786498,1.45572997,5.65772647,18.90000246,6.17999947,20.25881836
5.91341578,19.59308671,0.74258671,0.74258671,1.48517342,5.64683202,18.90000077,6.17999955,20.28617265
5.90537148,19.60000061,0.75006227,0.75006227,1.50012454,5.63593678,18.90000178,6.17480618,20.29999943
5.89714778,19.60644299,0.74322756,0.74322756,1.48645511,5.63000037,18.91288733,6.16429519,20.29999866
5.89189183,19.62058154,0.72814577,0.72814577,1.45629154,5.63000033,18.94116333,6.15378332,20.29999975
5.88289244,19.62499939,0.72347782,0.72347782,1.44695564,5.62251440,18.95000055,6.14327047,20.29999823
5.87218889,19.62499927,0.72354738,0.72354738,1.44709475,5.61161902,18.94999990,6.13275876,20.29999864
5.86148326,19.62500019,0.72361569,0.72361569,1.44723138,5.60072126,18.95000179,6.12224527,20.29999859
5.85077469,19.62499990,0.72368529,0.72368529,1.44737057,5.58981925,18.95000164,6.11173013,20.29999816
5.84006448,19.62500068,0.72375611,0.72375611,1.44751221,5.57891458,18.95000169,6.10121438,20.29999966
5.82935267,19.62499982,0.72382692,0.72382692,1.44765384,5.56800631,18.95000094,6.09069903,20.29999870
5.81863780,19.62499969,0.72389895,0.72389895,1.44779791,5.55709440,18.94999988,6.08018121,20.29999950
5.81308970,19.63832739,0.73826535,0.73826535,1.47653070,5.54617993,18.94999978,6.07999947,20.32665500
5.80690463,19.64999886,0.75085815,0.75085815,1.50171629,5.53526251,18.94999992,6.07854675,20.34999780
5.79902119,19.65728396,0.74311770,0.74311770,1.48623539,5.53000042,18.96457064,6.06804196,20.34999727
5.79376783,19.67133249,0.72812134,0.72812134,1.45624267,5.53000054,18.99266652,6.05753512,20.34999846
