x_m,y_m,w_tr_left_m,w_tr_right_m,w_total_m,left_x_m,left_y_m,right_x_m,right_y_m
-7.78640795,-8.22715473,1.30364014,1.63646973,2.94010986,-9.08999766,-8.23862327,-6.15000153,-8.21275818
-7.78643990,-8.21715260,1.30360840,1.63650146,2.94010986,-9.08999911,-8.22847659,-6.15000018,-8.20293687
-7.78647280,-8.20716000,1.30357422,1.70653564,3.01010986,-9.08999908,-8.21834351,-6.07999991,-8.19251943
-7.78650713,-8.19715977,1.30353760,1.70656738,3.01010498,-9.08999795,-8.20820561,-6.08000098,-8.18269875
-7.78654242,-8.18716049,1.30350098,1.70660156,3.01010254,-9.08999771,-8.19807238,-6.08000067,-8.17287416
-7.78657866,-8.17716217,1.30346436,1.70663574,3.01010010,-9.08999842,-8.18794353,-6.08000130,-8.16304605
-7.78661633,-8.16716480,1.30342529,1.70667236,3.01009766,-9.08999811,-8.17781904,-6.08000093,-8.15321440
-7.78665543,-8.15716076,1.30338623,1.70671143,3.01009766,-9.08999916,-8.16769097,-6.07999965,-8.14337204
-7.78669643,-8.14715767,1.30334473,1.70675049,3.01009521,-9.08999960,-8.15756636,-6.08000037,-8.13352732
-7.78673840,-8.13716316,1.30330078,1.70679199,3.01009277,-9.08999855,-8.14745374,-6.07999961,-8.12368671
-7.78678226,-8.12716103,1.30325684,1.70683350,3.01009033,-9.08999941,-8.13733629,-6.08000076,-8.11383481
-7.78682756,-8.11715984,1.23320801,1.70687744,2.94008545,-9.01999882,-8.12668174,-6.08000099,-8.10398063
-7.78687477,-8.10716057,1.23315918,1.70692383,2.94008301,-9.01999801,-8.11657889,-6.08000069,-8.09412384
-7.78692341,-8.09716320,1.23311035,1.70697266,2.94008301,-9.01999855,-8.10648060,-6.07999949,-8.08426529
-7.78697300,-8.08715820,1.23305908,1.70701904,2.94007813,-9.01999761,-8.09637703,-6.08000168,-8.07439587
-7.78702450,-8.07715511,1.23300781,1.70707031,2.94007813,-9.01999858,-8.08627801,-6.08000089,-8.06452467
-7.78707743,-8.06716061,1.23295410,1.77712402,3.01007813,-9.01999846,-8.07618931,-6.01000107,-8.05414704
-7.78713179,-8.05716038,1.23289795,1.77717773,3.01007568,-9.01999733,-8.06609756,-6.01000077,-8.04427776
-7.78718758,-8.04715824,1.23284180,1.77723389,3.01007568,-9.01999763,-8.05600626,-6.00999945,-8.03440316
-7.78724480,-8.03715897,1.23278320,1.77729004,3.01007324,-9.01999692,-8.04591984,-6.00999957,-8.02452851
-7.78730345,-8.02716160,1.23272461,1.77734619,3.01007080,-9.01999756,-8.03583712,-6.01000122,-8.01465320
-7.78736305,-8.01715755,1.23266357,1.77740723,3.01007080,-9.01999672,-8.02574978,-6.00999894,-8.00476822
-7.78742409,-8.00715542,1.23260254,1.77746582,3.01006836,-9.01999724,-8.01566668,-6.01000065,-7.99488182
-7.78748655,-7.99715424,1.23253906,1.91753174,3.15007080,-9.01999682,-8.00558630,-5.86999962,-7.98403600
-7.78754997,-7.98716259,1.23247559,1.91759277,3.15006836,-9.01999728,-7.99551754,-5.87000120,-7.97416322
-7.78761482,-7.97716427,1.23240967,1.91765869,3.15006836,-9.01999672,-7.98544325,-5.86999934,-7.96428198
-7.78768063,-7.96716022,1.23234375,1.91772217,3.15006592,-9.01999705,-7.97536530,-5.87000098,-7.95439182
-7.78774786,-7.95716572,1.23227783,1.91778809,3.15006592,-9.01999888,-7.96529837,-5.87000150,-7.94450892
-7.78781605,-7.94716263,1.23220703,1.91785645,3.15006348,-9.01999671,-7.95522430,-5.87000064,-7.93461511
-7.78788519,-7.93716145,1.23213867,1.91792480,3.15006348,-9.01999794,-7.94515365,-5.87000074,-7.92472093
-7.78795528,-7.92716217,1.23206787,2.05799805,3.29006592,-9.01999767,-7.93508636,-5.72999980,-7.91392591
-7.78802681,-7.91717148,1.23199707,2.05806885,3.29006592,-9.01999884,-7.92502882,-5.72999979,-7.90404567
-7.78809929,-7.90716743,1.16192139,2.05813965,3.22006104,-8.94999747,-7.91451663,-5.73000074,-7.89414962
-7.78817272,-7.89716482,1.16184814,2.05821289,3.22006104,-8.94999801,-7.90445371,-5.73000032,-7.88425256
-7.78824663,-7.88717175,1.16177490,2.05828613,3.22006104,-8.94999903,-7.89440090,-5.73000037,-7.87436405
-7.78832197,-7.87717009,1.16169922,2.05836182,3.22006104,-8.94999910,-7.88434090,-5.72999929,-7.86446444
-7.78839779,-7.86717081,1.16162109,2.05843506,3.22005615,-8.94999714,-7.87428408,-5.73000126,-7.85456583
-7.78847504,-7.85716534,1.16154541,2.19851562,3.36006104,-8.94999905,-7.86422222,-5.58999990,-7.84380842
-7.78855276,-7.84716892,1.16146729,2.19859131,3.36005859,-8.94999893,-7.85416993,-5.59000142,-7.83391641
-7.78863144,-7.83716679,1.16138672,2.19866943,3.36005615,-8.94999739,-7.84411249,-5.59000132,-7.82401758
-7.78871059,-7.82716656,1.16130859,2.19874756,3.36005615,-8.94999877,-7.83405781,-5.59000170,-7.81411910
-7.78879070,-7.81717587,1.16122803,2.19882812,3.36005615,-8.94999859,-7.82401347,-5.59000072,-7.80422860
-7.78887177,-7.80717134,1.16114502,2.19890869,3.36005371,-8.94999699,-7.81395587,-5.59000056,-7.79432320
-7.78895283,-7.79716873,1.16106445,2.19898926,3.36005371,-8.94999776,-7.80390048,-5.59000053,-7.78441920
-7.78903532,-7.78716707,1.16098145,2.26907227,3.43005371,-8.94999760,-7.79384685,-5.52000052,-7.77411182
-7.78911829,-7.77717400,1.16089844,2.26915527,3.43005371,-8.94999784,-7.78380209,-5.51999994,-7.76421835
